Username,Repo Name,Repo URL,Stars
bitcoin,bitcoin,https://github.com/topics/bitcoin/bitcoin,69900
ccxt,ccxt,https://github.com/topics/ccxt/ccxt,28400
freqtrade,freqtrade,https://github.com/topics/freqtrade/freqtrade,22100
HelloZeroNet,ZeroNet,https://github.com/topics/HelloZeroNet/ZeroNet,17900
solana-labs,solana,https://github.com/topics/solana-labs/solana,10400
bbfamily,abu,https://github.com/topics/bbfamily/abu,10000
askmike,gekko,https://github.com/topics/askmike/gekko,10000
dvf,blockchain,https://github.com/topics/dvf/blockchain,7400
lbryio,lbry-sdk,https://github.com/topics/lbryio/lbry-sdk,7200
lightningnetwork,lnd,https://github.com/topics/lightningnetwork/lnd,7000
yeasy,blockchain_guide,https://github.com/topics/yeasy/blockchain_guide,6500
spesmilo,electrum,https://github.com/topics/spesmilo/electrum,6400
butor,blackbird,https://github.com/topics/butor/blackbird,5700
btcsuite,btcd,https://github.com/topics/btcsuite/btcd,5300
bitcoinjs,bitcoinjs-lib,https://github.com/topics/bitcoinjs/bitcoinjs-lib,5000
btcpayserver,btcpayserver,https://github.com/topics/btcpayserver/btcpayserver,5000
anders94,blockchain-demo,https://github.com/topics/anders94/blockchain-demo,4800
jesse-ai,jesse,https://github.com/topics/jesse-ai/jesse,4700
bitcoinj,bitcoinj,https://github.com/topics/bitcoinj/bitcoinj,4600
getumbrel,umbrel,https://github.com/topics/getumbrel/umbrel,4500
